gc 87 @0.034s 12%: 0.059+0.19+0.014 ms clock, 0.47+0.038/0.16/0+0.11 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 88 @0.035s 12%: 0.058+0.084+0.002 ms clock, 0.47+0.058/0.070/0+0.016 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 89 @0.035s 12%: 0.053+0.18+0.003 ms clock, 0.43+0.042/0.16/0.012+0.027 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 90 @0.035s 12%: 0.062+0.10+0.002 ms clock, 0.49+0.052/0.075/0+0.016 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 91 @0.036s 12%: 0.039+0.16+0.002 ms clock, 0.31+0.037/0.095/0+0.017 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 92 @0.036s 12%: 0.041+0.080+0.001 ms clock, 0.32+0.074/0.077/0+0.015 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 93 @0.036s 12%: 0.074+0.16+0.014 ms clock, 0.59+0.032/0.10/0+0.11 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 94 @0.037s 12%: 0.061+0.081+0.002 ms clock, 0.49+0.057/0.079/0+0.016 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 95 @0.037s 12%: 0.053+0.18+0.018 ms clock, 0.42+0.086/0.091/0+0.14 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 96 @0.037s 12%: 0.067+0.082+0.002 ms clock, 0.54+0.076/0.078/0+0.022 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 97 @0.038s 12%: 0.059+0.17+0.012 ms clock, 0.47+0.043/0.088/0+0.099 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 98 @0.038s 12%: 0.061+0.078+0.006 ms clock, 0.49+0.066/0.075/0+0.053 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 99 @0.038s 12%: 0.031+0.12+0.005 ms clock, 0.24+0.035/0.094/0+0.046 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 100 @0.039s 12%: 0.029+0.084+0.003 ms clock, 0.23+0.061/0.077/0+0.025 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 101 @0.039s 12%: 0.055+0.20+0.011 ms clock, 0.44+0.032/0.11/0+0.090 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 102 @0.039s 12%: 0.050+0.085+0.002 ms clock, 0.40+0.065/0.081/0+0.023 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 103 @0.040s 12%: 0.065+0.23+0.021 ms clock, 0.52+0.037/0.10/0+0.17 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 104 @0.040s 12%: 0.065+0.13+0.002 ms clock, 0.52+0.053/0.088/0+0.020 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 105 @0.040s 12%: 0.054+0.16+0.033 ms clock, 0.43+0.037/0.10/0+0.26 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 106 @0.041s 12%: 0.043+0.073+0.002 ms clock, 0.35+0.056/0.083/0+0.023 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 107 @0.041s 12%: 0.061+0.14+0.022 ms clock, 0.48+0.036/0.10/0+0.17 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 108 @0.041s 12%: 0.071+0.10+0.002 ms clock, 0.57+0.073/0.085/0+0.018 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 109 @0.042s 12%: 0.051+0.17+0.020 ms clock, 0.41+0.034/0.10/0+0.16 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 110 @0.042s 12%: 0.049+0.080+0.002 ms clock, 0.39+0.065/0.074/0+0.019 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 111 @0.043s 12%: 0.055+0.14+0.002 ms clock, 0.44+0.035/0.11/0+0.022 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 112 @0.043s 12%: 0.051+0.10+0.002 ms clock, 0.41+0.072/0.086/0+0.018 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 113 @0.043s 12%: 0.071+0.17+0.002 ms clock, 0.57+0.026/0.11/0+0.017 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
