gc 49 @0.440s 5%: 0.20+11+0.080 ms clock, 1.6+0.39/5.3/0+0.64 ms cpu, 95->138->47 MB, 124 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 50 @0.495s 5%: 0.15+33+0.12 ms clock, 1.2+0.14/38/0+1.0 ms cpu, 192->232->43 MB, 237 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 51 @0.558s 5%: 0.16+8.6+0.31 ms clock, 1.2+0.27/4.4/0+2.5 ms cpu, 170->210->43 MB, 219 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 52 @0.604s 4%: 0.25+5.0+0.15 ms clock, 2.0+0.17/7.1/0+1.2 ms cpu, 168->184->20 MB, 220 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 53 @0.630s 4%: 0.29+5.3+0.14 ms clock, 2.3+0.17/5.9/0+1.1 ms cpu, 80->99->24 MB, 105 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 54 @0.647s 4%: 0.23+3.7+0.20 ms clock, 1.8+0.23/6.2/0.17+1.6 ms cpu, 92->107->20 MB, 120 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 55 @0.662s 4%: 0.073+7.8+0.025 ms clock, 0.58+0.061/2.7/1.2+0.20 ms cpu, 80->116->40 MB, 105 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 56 @0.687s 4%: 0.10+3.6+0.12 ms clock, 0.85+0.12/5.2/1.9+1.0 ms cpu, 159->175->21 MB, 205 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 57 @0.712s 4%: 0.17+7.9+0.10 ms clock, 1.4+0.081/6.6/0+0.83 ms cpu, 83->123->45 MB, 109 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 58 @0.737s 4%: 0.18+15+0.26 ms clock, 1.4+0.19/9.0/2.1+2.1 ms cpu, 187->248->66 MB, 229 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 59 @0.791s 4%: 0.083+4.3+0.24 ms clock, 0.66+0.15/5.4/2.4+1.9 ms cpu, 268->280->19 MB, 333 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 60 @0.830s 4%: 0.14+8.0+0.090 ms clock, 1.1+0.24/9.1/0+0.72 ms cpu, 74->104->37 MB, 97 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 61 @0.851s 4%: 0.073+5.8+0.14 ms clock, 0.58+0.26/7.1/1.1+1.1 ms cpu, 142->171->36 MB, 186 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 62 @0.876s 4%: 0.11+6.3+0.13 ms clock, 0.89+0.13/9.0/0+1.1 ms cpu, 137->158->27 MB, 180 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 63 @0.905s 4%: 0.13+6.3+0.12 ms clock, 1.1+0.070/10/0+1.0 ms cpu, 106->132->33 MB, 139 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 64 @0.928s 4%: 0.10+11+0.23 ms clock, 0.86+0.17/8.4/0+1.8 ms cpu, 132->182->57 MB, 167 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 65 @0.962s 4%: 0.086+5.1+0.11 ms clock, 0.69+0.19/6.1/0+0.92 ms cpu, 238->258->25 MB, 288 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 66 @0.995s 4%: 0.032+1.7+0.033 ms clock, 0.26+0.050/1.6/0.20+0.26 ms cpu, 95->98->3 MB, 125 MB goal, 0 MB stacks, 0 MB globals, 8 P
GOGC=400    wall=1s         gc_cycles=66     stw_pause_total=34.257287ms  peak_heap=287.4MB
